order_detail_id,order_id,product_id,quantity,unit_price,discount
OD0000101,ORD00001,PROD042,3,12.99,0.1
OD0000201,ORD00002,PROD017,2,29.99,0.0
OD0000301,ORD00003,PROD031,1,29.99,0.0
OD0000302,ORD00003,PROD036,1,44.99,0.0
OD0000303,ORD00003,PROD043,1,24.99,0.0
OD0000304,ORD00003,PROD001,1,79.99,0.0
OD0000401,ORD00004,PROD027,1,34.99,0.0
OD0000501,ORD00005,PROD034,2,24.99,0.15
OD0000502,ORD00005,PROD043,1,24.99,0.0
OD0000503,ORD00005,PROD037,4,34.99,0.0
OD0000601,ORD00006,PROD033,1,19.99,0.0
OD0000602,ORD00006,PROD048,1,6.99,0.05
OD0000701,ORD00007,PROD031,1,29.99,0.0
OD0000702,ORD00007,PROD044,3,9.99,0.0
OD0000801,ORD00008,PROD042,1,12.99,0.0
OD0000802,ORD00008,PROD038,1,24.99,0.0
OD0000901,ORD00009,PROD028,1,54.99,0.1
OD0001101,ORD00011,PROD048,2,6.99,0.0
OD0001102,ORD00011,PROD034,1,24.99,0.0
OD0001201,ORD00012,PROD029,1,14.99,0.0
OD0001202,ORD00012,PROD039,1,199.99,0.2
OD0001301,ORD00013,PROD025,1,129.99,0.0
OD0001401,ORD00014,PROD010,3,34.99,0.0
OD0001402,ORD00014,PROD006,3,19.99,0.0
OD0001501,ORD00015,PROD025,1,129.99,0.0
OD0001502,ORD00015,PROD037,1,34.99,0.0
OD0001503,ORD00015,PROD018,2,34.99,0.0
OD0001601,ORD00016,PROD006,1,19.99,0.05
OD0001602,ORD00016,PROD028,1,54.99,0.0
OD0001603,ORD00016,PROD017,1,29.99,0.0
OD0001604,ORD00016,PROD042,1,12.99,0.0
OD0001605,ORD00016,PROD004,3,12.99,0.05
OD0001701,ORD00017,PROD036,3,44.99,0.1
OD0001702,ORD00017,PROD013,1,119.99,0.0
OD0001801,ORD00018,PROD025,2,129.99,0.0
OD0001802,ORD00018,PROD038,2,24.99,0.0
OD0001901,ORD00019,PROD035,2,14.99,0.0
OD0001902,ORD00019,PROD028,4,54.99,0.0
OD0001903,ORD00019,PROD047,3,8.99,0.0
OD0002001,ORD00020,PROD006,3,19.99,0.2
OD0002101,ORD00021,PROD004,1,12.99,0.15
OD0002102,ORD00021,PROD022,3,59.99,0.15
OD0002201,ORD00022,PROD027,1,34.99,0.05
OD0002301,ORD00023,PROD005,1,59.99,0.0
OD0002302,ORD00023,PROD040,1,69.99,0.0
OD0002401,ORD00024,PROD037,3,34.99,0.0
OD0002402,ORD00024,PROD003,4,39.99,0.0
OD0002403,ORD00024,PROD011,1,89.99,0.0
OD0002501,ORD00025,PROD047,2,8.99,0.0
OD0002502,ORD00025,PROD011,2,89.99,0.0
OD0002503,ORD00025,PROD044,1,9.99,0.05
OD0002504,ORD00025,PROD048,2,6.99,0.1
OD0002601,ORD00026,PROD022,3,59.99,0.0
OD0002602,ORD00026,PROD010,4,34.99,0.0
OD0002701,ORD00027,PROD024,2,89.99,0.15
OD0002702,ORD00027,PROD037,2,34.99,0.05
OD0002703,ORD00027,PROD023,1,49.99,0.0
OD0002801,ORD00028,PROD003,1,39.99,0.0
